Year,GEO.id2,GEO.display_label,County,State,State Abbr,Households,Poverty Households,ALICE Households,Above ALICE Households,ALICE Threshold - HH under 65,ALICE Threshold - HH 65 years and over,Source: American Community Survey 
2014,36083,"Rensselaer County, New York",Rensselaer,New York,NY,63289 ,8015 ,17611 ,37663 ,50000 ,45000 ,1-Year
2016,36083,"Rensselaer County, New York",Rensselaer,New York,NY,62816 ,6756 ,17233 ,38827 ,50000 ,45000 ,1-Year
2018,36083,"Rensselaer County, New York",Rensselaer,New York,NY,64614 ,6842 ,14602 ,43170 ,50000 ,50000 ,1-Year
2019,36083,"Rensselaer County, New York",Rensselaer,New York,NY,65790 ,7670 ,15903 ,42217 ,50000 ,50000 ,1-Year
2021,36083,"Rensselaer County, New York",Rensselaer,New York,NY,66431 ,8662 ,17339 ,40430 ,60000 ,50000 ,1-Year
2010,36085,"Richmond County, New York",Richmond,New York,NY,163816 ,19494 ,48941 ,95381 ,60000 ,50000 ,1-Year
2012,36085,"Richmond County, New York",Richmond,New York,NY,163468 ,20253 ,46816 ,96399 ,60000 ,50000 ,1-Year
2014,36085,"Richmond County, New York",Richmond,New York,NY,164971 ,24585 ,44538 ,95848 ,60000 ,50000 ,1-Year
2016,36085,"Richmond County, New York",Richmond,New York,NY,164289 ,23813 ,42475 ,98001 ,60000 ,60000 ,1-Year
2018,36085,"Richmond County, New York",Richmond,New York,NY,167441 ,20404 ,51937 ,95100 ,75000 ,60000 ,1-Year
2019,36085,"Richmond County, New York",Richmond,New York,NY,166297 ,14299 ,54703 ,97295 ,75000 ,60000 ,1-Year
2021,36085,"Richmond County, New York",Richmond,New York,NY,170762 ,21462 ,54035 ,95265 ,75000 ,75000 ,1-Year
2010,36087,"Rockland County, New York",Rockland,New York,NY,98207 ,8389 ,31704 ,58114 ,75000 ,50000 ,1-Year
2012,36087,"Rockland County, New York",Rockland,New York,NY,97934 ,11157 ,29093 ,57684 ,75000 ,50000 ,1-Year
2014,36087,"Rockland County, New York",Rockland,New York,NY,98873 ,10429 ,30798 ,57646 ,75000 ,50000 ,1-Year
2016,36087,"Rockland County, New York",Rockland,New York,NY,99257 ,10888 ,30971 ,57398 ,75000 ,60000 ,1-Year
2018,36087,"Rockland County, New York",Rockland,New York,NY,99502 ,11652 ,29161 ,58689 ,75000 ,60000 ,1-Year
2019,36087,"Rockland County, New York",Rockland,New York,NY,101424 ,10242 ,26111 ,65071 ,75000 ,60000 ,1-Year
2021,36087,"Rockland County, New York",Rockland,New York,NY,102609 ,12722 ,27426 ,62461 ,75000 ,75000 ,1-Year
2010,36089,"St. Lawrence County, New York",St. Lawrence,New York,NY,43123 ,6453 ,12291 ,24379 ,35000 ,35000 ,1-Year
2012,36089,"St. Lawrence County, New York",St. Lawrence,New York,NY,42436 ,7236 ,12662 ,22538 ,40000 ,35000 ,1-Year
2014,36089,"St. Lawrence County, New York",St. Lawrence,New York,NY,40286 ,6973 ,12863 ,20450 ,45000 ,35000 ,1-Year
2016,36089,"St. Lawrence County, New York",St. Lawrence,New York,NY,40479 ,6066 ,11187 ,23226 ,45000 ,40000 ,1-Year
2018,36089,"St. Lawrence County, New York",St. Lawrence,New York,NY,41680 ,5921 ,12397 ,23362 ,45000 ,40000 ,1-Year
2019,36089,"St. Lawrence County, New York",St. Lawrence,New York,NY,42832 ,8729 ,10037 ,24066 ,45000 ,40000 ,1-Year
2021,36089,"St. Lawrence County, New York",St. Lawrence,New York,NY,42298 ,5599 ,13217 ,23482 ,50000 ,50000 ,1-Year
2010,36091,"Saratoga County, New York",Saratoga,New York,NY,90445 ,6138 ,19589 ,64718 ,40000 ,40000 ,1-Year
2012,36091,"Saratoga County, New York",Saratoga,New York,NY,87414 ,5054 ,23959 ,58401 ,50000 ,40000 ,1-Year
2014,36091,"Saratoga County, New York",Saratoga,New York,NY,90964 ,6150 ,22600 ,62214 ,50000 ,45000 ,1-Year
2016,36091,"Saratoga County, New York",Saratoga,New York,NY,93703 ,6389 ,23206 ,64108 ,50000 ,50000 ,1-Year
2018,36091,"Saratoga County, New York",Saratoga,New York,NY,94156 ,5986 ,25213 ,62957 ,60000 ,50000 ,1-Year
2019,36091,"Saratoga County, New York",Saratoga,New York,NY,93547 ,5409 ,27186 ,60952 ,60000 ,60000 ,1-Year
2021,36091,"Saratoga County, New York",Saratoga,New York,NY,100226 ,8581 ,23283 ,68362 ,60000 ,60000 ,1-Year
2010,36093,"Schenectady County, New York",Schenectady,New York,NY,58773 ,6311 ,17501 ,34961 ,45000 ,40000 ,1-Year
2012,36093,"Schenectady County, New York",Schenectady,New York,NY,57463 ,6598 ,17911 ,32954 ,50000 ,40000 ,1-Year
2014,36093,"Schenectady County, New York",Schenectady,New York,NY,56255 ,6442 ,17192 ,32621 ,50000 ,45000 ,1-Year
2016,36093,"Schenectady County, New York",Schenectady,New York,NY,48720 ,4955 ,18373 ,25392 ,60000 ,45000 ,1-Year
2018,36093,"Schenectady County, New York",Schenectady,New York,NY,55262 ,6366 ,18142 ,30754 ,60000 ,50000 ,1-Year
2019,36093,"Schenectady County, New York",Schenectady,New York,NY,62534 ,6751 ,16257 ,39526 ,50000 ,50000 ,1-Year
2021,36093,"Schenectady County, New York",Schenectady,New York,NY,66910 ,8412 ,15294 ,43204 ,50000 ,50000 ,1-Year
2010,36095,"Schoharie County, New York",Schoharie,New York,NY,12937 ,1472 ,3373 ,8092 ,40000 ,35000 ,3-Year
2012,36095,"Schoharie County, New York",Schoharie,New York,NY,12942 ,1606 ,3658 ,7678 ,45000 ,35000 ,3-Year
2014,36095,"Schoharie County, New York",Schoharie,New York,NY,12739 ,1702 ,3714 ,7323 ,45000 ,40000 ,5-Year
2016,36095,"Schoharie County, New York",Schoharie,New York,NY,12373 ,1641 ,4088 ,6644 ,50000 ,40000 ,5-Year
2018,36095,"Schoharie County, New York",Schoharie,New York,NY,12559 ,1606 ,4025 ,6928 ,50000 ,45000 ,5-Year
2019,36095,"Schoharie County, New York",Schoharie,New York,NY,12559 ,1452 ,3873 ,7234 ,50000 ,45000 ,5-Year
2021,36095,"Schoharie County, New York",Schoharie,New York,NY,12110 ,1474 ,3388 ,7248 ,50000 ,50000 ,5-Year
2010,36097,"Schuyler County, New York",Schuyler,New York,NY,7482 ,673 ,2096 ,4713 ,35000 ,35000 ,5-Year
2012,36097,"Schuyler County, New York",Schuyler,New York,NY,7570 ,649 ,2026 ,4895 ,35000 ,35000 ,5-Year
2014,36097,"Schuyler County, New York",Schuyler,New York,NY,7759 ,931 ,1718 ,5110 ,35000 ,35000 ,5-Year
2016,36097,"Schuyler County, New York",Schuyler,New York,NY,7376 ,1080 ,1968 ,4328 ,40000 ,40000 ,5-Year
2018,36097,"Schuyler County, New York",Schuyler,New York,NY,7304 ,950 ,2036 ,4318 ,45000 ,40000 ,5-Year
2019,36097,"Schuyler County, New York",Schuyler,New York,NY,7324 ,1098 ,1901 ,4325 ,45000 ,40000 ,5-Year
2021,36097,"Schuyler County, New York",Schuyler,New York,NY,7542 ,1128 ,1894 ,4520 ,45000 ,45000 ,5-Year
2010,36099,"Seneca County, New York",Seneca,New York,NY,13247 ,1495 ,3937 ,7815 ,40000 ,35000 ,3-Year
2012,36099,"Seneca County, New York",Seneca,New York,NY,13321 ,1791 ,3554 ,7976 ,40000 ,35000 ,3-Year
2014,36099,"Seneca County, New York",Seneca,New York,NY,13485 ,1663 ,3658 ,8164 ,40000 ,35000 ,5-Year
2016,36099,"Seneca County, New York",Seneca,New York,NY,13672 ,1597 ,3595 ,8480 ,40000 ,35000 ,5-Year
2018,36099,"Seneca County, New York",Seneca,New York,NY,13522 ,1575 ,3684 ,8263 ,45000 ,40000 ,5-Year
2019,36099,"Seneca County, New York",Seneca,New York,NY,13564 ,1517 ,3704 ,8343 ,45000 ,40000 ,5-Year
2021,36099,"Seneca County, New York",Seneca,New York,NY,13603 ,1678 ,4109 ,7816 ,50000 ,50000 ,5-Year
2010,36101,"Steuben County, New York",Steuben,New York,NY,41052 ,5518 ,9952 ,25582 ,35000 ,35000 ,1-Year
2012,36101,"Steuben County, New York",Steuben,New York,NY,41597 ,6109 ,8848 ,26640 ,35000 ,35000 ,1-Year
2014,36101,"Steuben County, New York",Steuben,New York,NY,41046 ,6599 ,9044 ,25403 ,35000 ,35000 ,1-Year
2016,36101,"Steuben County, New York",Steuben,New York,NY,38458 ,3861 ,11256 ,23341 ,40000 ,40000 ,1-Year
2018,36101,"Steuben County, New York",Steuben,New York,NY,40578 ,4906 ,9789 ,25883 ,40000 ,40000 ,1-Year
2019,36101,"Steuben County, New York",Steuben,New York,NY,39283 ,5930 ,10061 ,23292 ,45000 ,40000 ,1-Year
2021,36101,"Steuben County, New York",Steuben,New York,NY,39500 ,5592 ,10310 ,23598 ,45000 ,45000 ,1-Year
2010,36103,"Suffolk County, New York",Suffolk,New York,NY,496266 ,30069 ,133048 ,333149 ,60000 ,50000 ,1-Year
2012,36103,"Suffolk County, New York",Suffolk,New York,NY,496353 ,33633 ,160958 ,301762 ,75000 ,50000 ,1-Year
2014,36103,"Suffolk County, New York",Suffolk,New York,NY,493287 ,35986 ,156927 ,300374 ,75000 ,50000 ,1-Year
2016,36103,"Suffolk County, New York",Suffolk,New York,NY,474311 ,34103 ,136130 ,304078 ,75000 ,50000 ,1-Year
2018,36103,"Suffolk County, New York",Suffolk,New York,NY,496784 ,36311 ,135610 ,324863 ,75000 ,60000 ,1-Year
2019,36103,"Suffolk County, New York",Suffolk,New York,NY,499744 ,29936 ,128547 ,341261 ,75000 ,60000 ,1-Year
2021,36103,"Suffolk County, New York",Suffolk,New York,NY,511951 ,34189 ,132079 ,345683 ,75000 ,75000 ,1-Year
2010,36105,"Sullivan County, New York",Sullivan,New York,NY,31599 ,5667 ,7212 ,18720 ,35000 ,35000 ,1-Year
2012,36105,"Sullivan County, New York",Sullivan,New York,NY,29222 ,5387 ,7585 ,16250 ,45000 ,35000 ,1-Year
2014,36105,"Sullivan County, New York",Sullivan,New York,NY,27524 ,3910 ,8163 ,15451 ,45000 ,40000 ,1-Year
2016,36105,"Sullivan County, New York",Sullivan,New York,NY,25031 ,4432 ,7462 ,13137 ,50000 ,40000 ,1-Year
2018,36105,"Sullivan County, New York",Sullivan,New York,NY,28900 ,4841 ,8429 ,15630 ,50000 ,45000 ,1-Year
2019,36105,"Sullivan County, New York",Sullivan,New York,NY,28960 ,4522 ,7448 ,16990 ,50000 ,45000 ,1-Year
2021,36105,"Sullivan County, New York",Sullivan,New York,NY,28816 ,3847 ,9212 ,15757 ,60000 ,50000 ,5-Year
2010,36107,"Tioga County, New York",Tioga,New York,NY,20634 ,2129 ,4632 ,13873 ,35000 ,35000 ,3-Year
2012,36107,"Tioga County, New York",Tioga,New York,NY,20135 ,1986 ,5022 ,13127 ,40000 ,35000 ,3-Year
2014,36107,"Tioga County, New York",Tioga,New York,NY,20178 ,2032 ,5278 ,12868 ,40000 ,40000 ,5-Year
2016,36107,"Tioga County, New York",Tioga,New York,NY,19705 ,2114 ,4979 ,12612 ,40000 ,40000 ,5-Year
2018,36107,"Tioga County, New York",Tioga,New York,NY,20045 ,2206 ,5116 ,12723 ,45000 ,40000 ,5-Year
2019,36107,"Tioga County, New York",Tioga,New York,NY,20030 ,2175 ,5141 ,12714 ,45000 ,45000 ,5-Year
2021,36107,"Tioga County, New York",Tioga,New York,NY,20316 ,1967 ,5640 ,12709 ,50000 ,45000 ,5-Year
2010,36109,"Tompkins County, New York",Tompkins,New York,NY,37812 ,7315 ,9161 ,21336 ,45000 ,40000 ,1-Year
2012,36109,"Tompkins County, New York",Tompkins,New York,NY,38269 ,6298 ,9976 ,21995 ,45000 ,40000 ,1-Year
2014,36109,"Tompkins County, New York",Tompkins,New York,NY,38120 ,6774 ,11523 ,19823 ,50000 ,45000 ,1-Year
2016,36109,"Tompkins County, New York",Tompkins,New York,NY,37683 ,7779 ,11312 ,18592 ,60000 ,45000 ,1-Year
2018,36109,"Tompkins County, New York",Tompkins,New York,NY,40250 ,6184 ,11551 ,22515 ,50000 ,50000 ,1-Year
2019,36109,"Tompkins County, New York",Tompkins,New York,NY,40322 ,7098 ,10553 ,22671 ,50000 ,50000 ,1-Year
2021,36109,"Tompkins County, New York",Tompkins,New York,NY,44469 ,8762 ,9134 ,26573 ,50000 ,60000 ,1-Year
2010,36111,"Ulster County, New York",Ulster,New York,NY,68581 ,7989 ,20921 ,39671 ,45000 ,40000 ,1-Year
2012,36111,"Ulster County, New York",Ulster,New York,NY,70353 ,7562 ,21340 ,41451 ,50000 ,40000 ,1-Year
2014,36111,"Ulster County, New York",Ulster,New York,NY,69522 ,8355 ,21109 ,40058 ,50000 ,40000 ,1-Year
2016,36111,"Ulster County, New York",Ulster,New York,NY,68298 ,7644 ,19596 ,41058 ,50000 ,45000 ,1-Year
2018,36111,"Ulster County, New York",Ulster,New York,NY,69154 ,8614 ,20275 ,40265 ,60000 ,45000 ,1-Year
2019,36111,"Ulster County, New York",Ulster,New York,NY,69376 ,7943 ,22255 ,39178 ,60000 ,50000 ,1-Year
2021,36111,"Ulster County, New York",Ulster,New York,NY,75053 ,7483 ,19830 ,47740 ,60000 ,50000 ,1-Year
2010,36113,"Warren County, New York",Warren,New York,NY,28809 ,2192 ,7126 ,19491 ,35000 ,35000 ,1-Year
2012,36113,"Warren County, New York",Warren,New York,NY,27530 ,3143 ,7191 ,17196 ,40000 ,40000 ,1-Year
2014,36113,"Warren County, New York",Warren,New York,NY,26193 ,3668 ,7147 ,15378 ,45000 ,45000 ,1-Year
2016,36113,"Warren County, New York",Warren,New York,NY,28841 ,3162 ,6737 ,18942 ,40000 ,40000 ,1-Year
2018,36113,"Warren County, New York",Warren,New York,NY,28007 ,2673 ,8311 ,17023 ,45000 ,45000 ,1-Year
2019,36113,"Warren County, New York",Warren,New York,NY,29593 ,2892 ,8691 ,18010 ,50000 ,45000 ,1-Year
2021,36113,"Warren County, New York",Warren,New York,NY,29729 ,2838 ,7506 ,19385 ,50000 ,50000 ,1-Year
2010,36115,"Washington County, New York",Washington,New York,NY,24881 ,2884 ,6992 ,15005 ,40000 ,35000 ,3-Year
2012,36115,"Washington County, New York",Washington,New York,NY,24242 ,2738 ,7876 ,13628 ,45000 ,40000 ,3-Year
2014,36115,"Washington County, New York",Washington,New York,NY,24165 ,3021 ,8554 ,12590 ,50000 ,45000 ,5-Year
2016,36115,"Washington County, New York",Washington,New York,NY,24027 ,2904 ,7783 ,13340 ,50000 ,40000 ,5-Year
2018,36115,"Washington County, New York",Washington,New York,NY,24009 ,2874 ,7595 ,13540 ,50000 ,45000 ,5-Year
2019,36115,"Washington County, New York",Washington,New York,NY,24014 ,2481 ,7340 ,14193 ,50000 ,45000 ,5-Year
2021,36115,"Washington County, New York",Washington,New York,NY,24073 ,2818 ,7765 ,13490 ,60000 ,50000 ,5-Year
2010,36117,"Wayne County, New York",Wayne,New York,NY,36603 ,3266 ,8847 ,24490 ,35000 ,35000 ,1-Year
2012,36117,"Wayne County, New York",Wayne,New York,NY,37027 ,4746 ,9721 ,22560 ,40000 ,35000 ,1-Year
2014,36117,"Wayne County, New York",Wayne,New York,NY,35577 ,3954 ,13127 ,18496 ,45000 ,40000 ,1-Year
2016,36117,"Wayne County, New York",Wayne,New York,NY,37496 ,2824 ,9147 ,25525 ,40000 ,40000 ,1-Year
2018,36117,"Wayne County, New York",Wayne,New York,NY,35927 ,3046 ,9305 ,23576 ,45000 ,40000 ,1-Year
2019,36117,"Wayne County, New York",Wayne,New York,NY,36634 ,4857 ,8635 ,23142 ,45000 ,45000 ,1-Year
2021,36117,"Wayne County, New York",Wayne,New York,NY,38634 ,3965 ,9296 ,25373 ,45000 ,50000 ,1-Year
2010,36119,"Westchester County, New York",Westchester,New York,NY,344475 ,29021 ,78169 ,237285 ,50000 ,45000 ,1-Year
2012,36119,"Westchester County, New York",Westchester,New York,NY,340097 ,32873 ,96088 ,211136 ,60000 ,45000 ,1-Year
2014,36119,"Westchester County, New York",Westchester,New York,NY,342557 ,33858 ,86267 ,222432 ,60000 ,45000 ,1-Year
2016,36119,"Westchester County, New York",Westchester,New York,NY,342216 ,36130 ,83014 ,223072 ,60000 ,50000 ,1-Year
2018,36119,"Westchester County, New York",Westchester,New York,NY,352498 ,32145 ,97868 ,222485 ,75000 ,50000 ,1-Year
2019,36119,"Westchester County, New York",Westchester,New York,NY,355136 ,32140 ,94482 ,228514 ,75000 ,60000 ,1-Year
2021,36119,"Westchester County, New York",Westchester,New York,NY,371736 ,37425 ,88137 ,246174 ,75000 ,60000 ,1-Year
2010,36121,"Wyoming County, New York",Wyoming,New York,NY,15242 ,1654 ,4536 ,9052 ,40000 ,35000 ,3-Year
2012,36121,"Wyoming County, New York",Wyoming,New York,NY,15716 ,1475 ,5019 ,9222 ,45000 ,35000 ,3-Year
2014,36121,"Wyoming County, New York",Wyoming,New York,NY,15691 ,1605 ,4607 ,9479 ,45000 ,35000 ,5-Year
2016,36121,"Wyoming County, New York",Wyoming,New York,NY,15780 ,1683 ,3816 ,10281 ,40000 ,35000 ,5-Year
2018,36121,"Wyoming County, New York",Wyoming,New York,NY,15815 ,1660 ,4223 ,9932 ,45000 ,40000 ,5-Year
2019,36121,"Wyoming County, New York",Wyoming,New York,NY,15917 ,1620 ,4042 ,10255 ,45000 ,40000 ,5-Year
2021,36121,"Wyoming County, New York",Wyoming,New York,NY,15870 ,1562 ,4398 ,9910 ,50000 ,45000 ,5-Year
2010,36123,"Yates County, New York",Yates,New York,NY,9184 ,1330 ,2627 ,5227 ,40000 ,35000 ,3-Year
2012,36123,"Yates County, New York",Yates,New York,NY,9466 ,1203 ,2327 ,5936 ,40000 ,35000 ,3-Year
2014,36123,"Yates County, New York",Yates,New York,NY,9642 ,1264 ,2346 ,6032 ,40000 ,35000 ,5-Year
2016,36123,"Yates County, New York",Yates,New York,NY,9532 ,1201 ,2493 ,5838 ,40000 ,35000 ,5-Year
2018,36123,"Yates County, New York",Yates,New York,NY,9029 ,1016 ,2917 ,5096 ,50000 ,40000 ,5-Year
2019,36123,"Yates County, New York",Yates,New York,NY,8919 ,991 ,2765 ,5163 ,50000 ,40000 ,5-Year
2021,36123,"Yates County, New York",Yates,New York,NY,8594 ,976 ,2758 ,4860 ,50000 ,50000 ,5-Year